state,democrat,screen_name,id,name,location,description,url,created_at,verified,protected,followers_count,follow_request_sent,friends_count,favorites_count,listed_count
wisconsin,https://twitter.com/GovEvers,GovEvers,234896532,Governor Tony Evers,"Madison, Wisconsin","Husband to Kathy, lifelong educator, Euchre and bobblehead enthusiast, and 46th Governor of the State of Wisconsin.",https://t.co/JyH2JWfeyt,2011-01-06 21:05:10+00:00,True,False,102449,False,246,167,899
orgeon,https://twitter.com/TinaKotek,TinaKotek,2835931010,Tina Kotek,Oregon,Progressive Democrat. Candidate for Oregon Governor. Committed to building a future of opportunity and justice for all Oregonians.,https://t.co/U0kpZIDyUZ,2014-09-30 18:28:02+00:00,True,False,19556,False,339,1510,288
nevada,https://twitter.com/GovSisolak,GovSisolak,1080586433088258048,Governor Sisolak,"Nevada, USA",Governor of Nevada. Proud Dad and Husband. Standing up for Nevada families and Nevada priorities. #3MillionReasons,https://t.co/9iq0pinVZs,2019-01-02 22:07:36+00:00,True,False,100209,False,123,1987,603
arizona,https://twitter.com/katiehobbs,katiehobbs,26659619,Katie Hobbs,"Phoenix, AZ","Social worker, mom, wife, Arizona’s Secretary of State. Running for Governor of Arizona.",https://t.co/otdUvzR8kj,2009-03-26 01:55:21+00:00,True,False,133800,False,1576,6488,862
kansas,https://twitter.com/LauraKellyKS,LauraKellyKS,364864453,Laura Kelly,"Topeka, KS","48th Governor of Kansas, Wife, Mother, Champion for Kids.",https://t.co/ErZXA4bB3F,2011-08-30 13:39:23+00:00,True,False,54879,False,553,3634,390
new mexico,https://twitter.com/GovMLG,GovMLG,1070083706822438912,Governor Michelle Lujan Grisham,New Mexico,"Mother, grandmother, dog owner and New Mexican. Proud to serve as the 32nd governor of New Mexico.",https://t.co/37ICbzfNE0,2018-12-04 22:33:31+00:00,True,False,59643,False,199,3803,615
michigan,https://twitter.com/gretchenwhitmer,gretchenwhitmer,1093619068148559872,Gretchen Whitmer,"East Lansing, MI","Lifelong Michigander. Proud mom. Governor of Michigan. This is my personal account. Text 'IN' to 30348 for updates. For my official account, visit @GovWhitmer",https://t.co/d8qvpoEMeu,2019-02-07 21:14:39+00:00,True,False,206633,False,151,16,656
maine,https://twitter.com/GovJanetMills,GovJanetMills,1083795319027089408,Governor Janet Mills,"Augusta, ME","The official tweets of Maine’s 75th Governor, Janet T. Mills. Tweets will be archived.",https://t.co/8XzZHZbNgP,2019-01-11 18:38:34+00:00,True,False,23999,False,122,15,416
georgia,https://twitter.com/staceyabrams,staceyabrams,216065430,Stacey Abrams,Georgia,Democratic Nominee for Governor of Georgia. Small Business Owner. Tax Attorney. Nonprofit Founder. Bestselling Author. Join @TeamAbrams now.,https://t.co/KB1rUwIaan,2010-11-15 18:12:10+00:00,True,False,2915549,False,1929,6916,8787
minnesota,https://twitter.com/GovTimWalz,GovTimWalz,1064603540956565504,Governor Tim Walz,"Minnesota, USA","Dad, husband, teacher, coach, veteran. Governor of Minnesota. Working to move our state forward as #OneMinnesota.",https://t.co/SMHYS0wXOJ,2018-11-19 19:37:18+00:00,True,False,205789,False,960,2363,1052
pennsylvania,https://twitter.com/JoshShapiroPA,JoshShapiroPA,24209167,Josh Shapiro,"Pennsylvania, USA",Attorney General. Dad to 4 kids. Married to my high school sweetheart. Running to be the next Governor of Pennsylvania — text 32210 to join us.,https://t.co/fvOlvUzx5E,2009-03-13 17:20:48+00:00,True,False,274746,False,3447,7436,1302
oklahoma,https://twitter.com/joy4ok,joy4ok,2340920154,Joy Hofmeister,"Oklahoma, USA","Wife, Mom of 4, OK State Superintendent of Public Instruction. Running for #OKGov",https://t.co/ClkO5ImOHa,2014-02-12 20:53:52+00:00,True,False,35869,False,881,8944,246
florida,https://twitter.com/CharlieCrist,CharlieCrist,38970940,Charlie Crist,"St. Petersburg, Florida",Former Governor and proud @FloridaState alum. Running for Governor to build a Florida for all. Text CHARLIE to 54238 📱,https://t.co/PISeHGtiv6,2009-05-10 01:42:17+00:00,True,False,255760,False,670,709,1599
new york,https://twitter.com/GovKathyHochul,GovKathyHochul,2977083957,Governor Kathy Hochul,,Official Twitter account for the 57th Governor of New York State. Social Media Use Policy: https://t.co/SAxlYd18na,https://t.co/gpxNZAJTaH,2015-01-13 21:03:25+00:00,True,False,234772,False,681,2910,1108
texas,https://twitter.com/BetoORourke,BetoORourke,342863309,Beto O'Rourke,"El Paso, TX",I’m running for governor to serve ALL the people of Texas.,https://t.co/Dz2B5OUIxb,2011-07-26 18:05:52+00:00,True,False,2591458,False,1647,7266,7798
connecticut,https://twitter.com/GovNedLamont,GovNedLamont,1076293903723233280,Governor Ned Lamont,"Hartford, CT",89th Governor of Connecticut. Find a COVID vaccine near you at https://t.co/iI5zIF71B9,https://t.co/pUlmAF7IcE,2018-12-22 01:50:38+00:00,True,False,98692,False,851,2391,716
rhode island,https://twitter.com/GovDanMcKee,GovDanMcKee,158238919,Governor Dan McKee,"Cumberland, RI","Little Rhody’s Governor. Accelerating RI’s momentum: #1 vaccinated state, leading the nation for economic recovery, lowest unemployment rate in history.",https://t.co/HbFwJzwRAm,2010-06-22 04:14:20+00:00,True,False,16514,False,1652,3703,220
south carolina,https://twitter.com/JoeCunninghamSC,JoeCunninghamSC,826589191412862976,Joe Cunningham,"Charleston, SC",Boone’s Dad. Former Congressman. Proud South Carolinian. Democratic nominee for Governor. Follow our next Lt. Gov. @TallyCasey.,https://t.co/SQD6uu8nu1,2017-02-01 00:33:15+00:00,True,False,71092,False,339,657,445
colorado,https://twitter.com/PolisForCO,PolisForCO,600422073,Jared Polis,"Denver, CO",Dad and husband. @Rockies fan. Gaymer. Colorado Governor. — text JARED to 30411 to join.,https://t.co/T7tMFvGEPB,2012-06-05 19:10:00+00:00,True,False,23837,False,792,688,234
illinois,https://twitter.com/JBPritzker,JBPritzker,45550693,JB Pritzker,"Chicago, IL","Husband, Father, Entrepreneur @1871Chicago, Governor.

Fighting for a stronger, fairer, and safer Illinois. Text JB to 80467",https://t.co/LNz3RAurlz,2009-06-08 12:06:44+00:00,True,False,133618,False,1878,3558,1082
nevada,https://twitter.com/Blood4G,Blood4G,1427724022440153093,Blood4Governor,"Lincoln, Nebraska",Bring collaborative government back to Nebraska. Vote Carol Blood for Governor. Paid for by Nebraskans For Carol Blood.,https://t.co/2AsDTcL4UF,2021-08-17 20:09:24+00:00,True,False,5358,False,1047,3378,31
alaska,https://twitter.com/Gara_4_Governor,Gara_4_Governor,106773922,Les Gara,"Anchorage, AK","Married Up. Running for Governor because you deserve a brighter future. https://t.co/5MMPWIu7AN. Paid for by Alaskans For Les Gara, POB 200415, Anchorage AK 99520.",https://t.co/bfHGmEJxoV,2010-01-20 17:09:08+00:00,True,False,7462,False,4093,4721,163
new hampshire,https://twitter.com/TomShermanNH,TomShermanNH,2581050041,Dr. Tom Sherman,"Rye, NH","Candidate for Governor #nhgov. Father, Husband, Doctor, Seacoast State Senator, and Mediocre Surfer.",https://t.co/9buyWxGRzw,2014-06-03 18:34:01+00:00,True,False,6757,False,3481,699,73
iowa,https://twitter.com/DeidreDeJear,DeidreDeJear,36231074,Deidre DeJear,"Des Moines, IA","Voter, Wife, Foodie, Iowan, Small Business Owner, and Democratic Nominee for Governor of Iowa. Endorsed by @DMRegister Editorial Board. 🧱 🗳 🧱 🗳",https://t.co/aTub87Milu,2009-04-29 00:41:59+00:00,True,False,41935,False,1205,6651,210
ohio,https://twitter.com/nanwhaley,nanwhaley,40296465,Nan Whaley,"Dayton, Ohio","Running for Governor with @CherylforOhio because Ohio deserves better. Former Mayor of Dayton. Pro-worker, Pro-choice, Pro-Ohio.",https://t.co/qzTADgUP1M,2009-05-15 18:09:47+00:00,True,False,77336,False,884,6363,449
california,https://twitter.com/GavinNewsom,GavinNewsom,11347122,Gavin Newsom,California,Husband to @JenSiebelNewsom and father. 40th Governor of California. Former Lt. Governor of California. Former San Francisco Mayor. Personal account.,https://t.co/SFMon1p3ZY,2007-12-19 19:53:42+00:00,True,False,2062271,False,22244,5487,9605
south dakota,https://twitter.com/RepJamieSmith,RepJamieSmith,1266463248003534848,Jamie Smith for SD Governor,"South Dakota, USA",Husband. Father. Democratic House Minority Leader. Running for Governor of South Dakota! Donate here: https://t.co/7B2ODElhu9,https://t.co/JsKFb29M0U,2020-05-29 20:16:49+00:00,True,False,19509,False,110,83,55
arkansas,https://twitter.com/JonesForAR,JonesForAR,890931539017687040,Chris Jones,"Little Rock, Arkansas","Democratic Nominee for Governor of Arkansas. Physicist. Minister. Alum of Morehouse, NASA & MIT. Educator. Non-profit leader. Dad & husband. #FaithInAR #arpx",https://t.co/qC384ZdifM,2017-07-28 13:46:46+00:00,True,False,160534,False,4505,8513,416
massachusetts,https://twitter.com/RepGeoffDiehl,RepGeoffDiehl,110573669,Geoff Diehl,"Whitman, MA","Proud Father, Lucky Husband, Eagle Scout & Former State Rep., 2018 US Senate MA nominee.
2022 Candidate for MA Governor.
Rush fan.",https://t.co/9mMXJK3HQ5,2010-02-02 01:17:21+00:00,True,False,11205,False,3443,8342,158
marlyand,https://twitter.com/DanCoxEsq,DanCoxEsq,4870917011,Dan Cox 🇺🇸 🦅- Delegate & Candidate for Governor,"Frederick, MD","Dan Cox for Governor. Auth: Dan Cox for Governor; Walter T. Charlton, Esq., CPA, Treasurer. #TRUMPLAWYERS #TRUMPENDORSED",https://t.co/Ee4XqWzaLT,2016-02-02 01:27:26+00:00,True,False,8246,False,4032,36714,92
hawaii,https://twitter.com/DukeAiona2022,DukeAiona2022,64614474,Duke Aiona,Hawai‘i,Duke Aiona for Governor #higov #dukeaiona2022 #AionaTupai2022,https://t.co/y8jwmHxRKV,2009-08-11 03:38:32+00:00,True,False,3796,False,4071,161,177
tennessee,https://twitter.com/jasonbmartin,jasonbmartin,17622662,"Jason B. Martin, MD","Nashville, Tennessee",Democratic nominee for Tennessee Governor. Father. Husband. Critical Care Physician. Advocate for All Tennesseans. #TNthrives,https://t.co/Qfhg8bo5Hr,2008-11-25 16:08:44+00:00,True,False,18171,False,694,1949,84
vermont,https://twitter.com/GovPhilScott,GovPhilScott,545107258,Governor Phil Scott,Vermont,"82nd Governor of Vermont | Working to grow the economy, make Vermont more affordable and protect the most vulnerable | https://t.co/KUIt8kVUnY",https://t.co/lvRoGippss,2012-04-04 12:57:09+00:00,True,False,37711,False,506,649,588
alabama,https://twitter.com/Yolandaforgov,Yolandaforgov,1422657666774601739,Yolanda Flowers,Alabama,Alabamians! We must think “Reconstruction” for us all 💙 VOTE me for Governor in 2022!🇺🇸,https://t.co/6ZZpImv7K6,2021-08-03 20:39:08+00:00,False,False,4576,False,115,803,28
idaho,https://twitter.com/heidtforgov,heidtforgov,1513378188168101897,Stephen Heidt for Idaho Governor,"Idaho, USA","Democratic Nominee |Educator & Veteran| Issues: Education. Bodily Autonomy. Criminal Justice. Cannabis.| Guided by Faith, Family, & Service.| #idpol",https://t.co/97OdOtUHge,2022-04-11 04:49:27+00:00,False,False,1780,False,2410,531,13
