state,republican,screen_name,id,name,location,description,url,created_at,verified,protected,followers_count,follow_request_sent,friends_count,favorites_count,listed_count
wisconsin,https://twitter.com/michelsforgov,michelsforgov,1514274154274512901,Tim Michels,Wisconsin,"Army Veteran. Successful Businessman. Outsider.

Tim Michels is running for governor to get Wisconsin back on the right track.

Join the team!
https://t.co/lHKqQnW72j",https://t.co/6hqLqdIXZh,2022-04-13 16:08:00+00:00,True,False,11855,False,165,215,92
orgeon,https://twitter.com/ChristineDrazan,ChristineDrazan,965763444627550210,Christine Drazan,"Oregon, USA","Republican candidate for governor. I want to fix our schools, keep our communities safe, and make Oregon more affordable. Ready to lead #OnDay1.",https://t.co/NXGQ3ZaQWN,2018-02-20 01:42:02+00:00,True,False,18707,False,345,652,104
nevada,https://twitter.com/JoeLombardoNV,JoeLombardoNV,1389345377137176579,Joe Lombardo,"Nevada, USA",Army Veteran. Law Enforcement Officer of 34 years. Current Sheriff of Clark County. Running for Governor of Nevada to take back our state!,https://t.co/SLKRLjxdld,2021-05-03 22:25:37+00:00,True,False,8091,False,35,168,76
arizona,https://twitter.com/KariLake,KariLake,1082197856,Kari Lake,Iowa & Arizona,Official Twitter Account for Trump-Endorsed Candidate for Arizona Governor. Text KARI to 70789. Find me on TRUTH Social at karilake & FB at TheKariLake.,https://t.co/EmzgORJKeQ,2013-01-12 07:47:51+00:00,True,False,572139,False,982,24404,1126
kansas,https://twitter.com/DerekSchmidtKS,DerekSchmidtKS,161138443,Derek Schmidt,,Trusted Leader. Proven Winner. Kansas Conservative. Currently serving as our state’s 44th Attorney General. Running for Governor in 2022.,https://t.co/ZYJ5mUrVYw,2010-06-30 02:39:27+00:00,True,False,4879,False,17,10,62
new mexico,https://twitter.com/MarkRonchettiNM,MarkRonchettiNM,246064793,Mark Ronchetti,New Mexico,Blessed by God with three wonderful girls in my life. Walk humbly but act decisively. Candidate for Governor of NM.,https://t.co/JvkwcxXYSb,2011-02-02 01:51:38+00:00,True,False,21252,False,2018,7440,254
michigan,https://twitter.com/TudorDixon,TudorDixon,994197651406106624,Tudor Dixon,"Michigan, USA","Worked in steel manufacturing, mom of four girls, breast cancer survivor, Granddaughter of Whitmer nursing home victim & GOP Nominee for Governor of Michigan.",https://t.co/JfgQWv1oO9,2018-05-09 12:49:26+00:00,True,False,175427,False,601,1483,346
maine,https://twitter.com/PaulLePage2022,PaulLePage2022,75563774,Paul LePage,Maine,"74th Governor of Maine, husband to Ann, job creator.  Product of the American Dream. Passionate about Maine's future. Candidate for Maine Governor 2022.",https://t.co/4JpYaEVCJr,2009-09-19 14:47:06+00:00,True,False,4493,False,595,43,109
georgia,https://twitter.com/BrianKempGA,BrianKempGA,47437206,Brian Kemp,"Athens, GA",Georgia's 83rd Governor,https://t.co/DNllYKHKIJ,2009-06-15 20:36:14+00:00,True,False,140087,False,1896,2565,879
minnesota,https://twitter.com/drscottjensen,drscottjensen,4074051493,Scott Jensen,"Chaska, MN","Running to be the next Governor of Minnesota. Dad, husband, long-time family physician, and former Minnesota State Senator for Carver County.",https://t.co/ILQVJAQlVN,2015-10-31 00:16:23+00:00,True,False,95227,False,506,1547,401
pennsylvania,https://twitter.com/dougmastriano,dougmastriano,968204866760970240,Doug Mastriano,"Pennsylvania, USA",Pennsylvania Senator of PA District 33,https://t.co/e4iuQzNRqE,2018-02-26 19:23:23+00:00,False,False,132891,False,3523,17017,343
oklahoma,https://twitter.com/GovStitt,GovStitt,865210877678686208,Governor Kevin Stitt,"Oklahoma City, OK",Official Twitter account of Oklahoma Governor Kevin Stitt.,https://t.co/bbVcz2Pv5v,2017-05-18 14:22:02+00:00,True,False,61847,False,268,1040,537
florida,https://twitter.com/RonDeSantisFL,RonDeSantisFL,487297085,Ron DeSantis,Florida,"Governor of Florida. Husband to @CaseyDeSantis. Father to Madison, Mason, and Mamie. Iraq Veteran. Fighting to Keep Florida Free.",https://t.co/UORiwxJLV9,2012-02-09 06:41:04+00:00,True,False,1268350,False,3,68,2089
new york,https://twitter.com/leezeldin,leezeldin,15874918,Lee Zeldin,"Shirley, L.I., N.Y.","Dad, Husband, Congressman & Army Reserve Lieutenant Colonel running for Governor of New York to Save Our State! 

🚨 Text LEE to 484848",https://t.co/4m6ryifezb,2008-08-16 17:35:57+00:00,True,False,152120,False,1946,452,612
texas,https://twitter.com/GregAbbott_TX,GregAbbott_TX,90651198,Greg Abbott,"Austin, TX",Texas Governor Greg Abbott's Personal Twitter Feed,https://t.co/EuxE90ZvPH,2009-11-17 15:27:41+00:00,True,False,859274,False,2803,2523,3625
connecticut,https://twitter.com/bobforgovernor,bobforgovernor,908458972570583046,Bob Stefanowski,Connecticut,"Working for an affordable, safe, and transparent Connecticut.",https://t.co/36PXZBSL1j,2017-09-14 22:34:32+00:00,True,False,11207,False,875,571,79
rhode island,https://twitter.com/AshleyKalus,AshleyKalus,1451532092152627201,Ashley Kalus,Rhode Island,👨‍👩‍👦 Proud Mom 👩‍💼 Small Business Owner 🥊 Golden Gloves Boxing Champion 🎣 Avid Angler. 👟 Running for Rhode Island Governor #RIGov,https://t.co/cDn2OeIaSc,2021-10-22 12:53:20+00:00,True,False,3842,False,1756,761,20
south carolina,https://twitter.com/henrymcmaster,henrymcmaster,16335288,Gov. Henry McMaster,"Columbia, SC",117th Governor of South Carolina,,2008-09-17 19:31:57+00:00,True,False,82386,False,624,1301,955
colorado,https://twitter.com/heidiganahl,heidiganahl,14622946,Heidi Ganahl for CO Gov,Colorado,Candidate for Governor of Colorado 2022 🇺🇸 Mom. Entrepreneur. CU Regent. Dog Lover/Founder @campbowwow. Freedom Fighter. #heidiforgov #heidi4gov,https://t.co/HroGQn9wr5,2008-05-02 05:33:30+00:00,True,False,10829,False,1158,4782,123
illinois,https://twitter.com/DarrenBaileyIL,DarrenBaileyIL,912088801354436609,Darren Bailey for Governor,"Louisville, IL","Our families’ priorities have always been Faith, Family, Farming & Community. I’m running to serve as a principled conservative leader in Springfield.",https://t.co/IIV1b8FuYC,2017-09-24 22:58:10+00:00,False,False,16596,False,562,2765,109
nevada,https://twitter.com/jim_pillen,jim_pillen,1377648577284038658,Jim Pillen,Nebraska,"I'm a father, grandfather, pig farmer, and conservative Republican running for governor to keep Nebraska great. I'd be honored to earn your vote.",https://t.co/X5Wzz4QSis,2021-04-01 15:47:05+00:00,True,False,3931,False,99,190,33
alaska,https://twitter.com/MikeDunleavyGov,MikeDunleavyGov,1081991142,Mike Dunleavy,"Alaska, USA",Dunleavy for Governor. Always fighting for Alaska.,https://t.co/6doIt4EgP8,2013-01-12 06:08:05+00:00,True,False,3394,False,62,29,91
new hampshire,https://twitter.com/ChrisSununu,ChrisSununu,95943434,Chris Sununu,"Seacoast, New Hampshire",Governor of the State of New Hampshire | Dad to 3 great kids & Husband to the most understanding wife on the planet.,https://t.co/hXcneeNfQq,2009-12-10 17:18:58+00:00,True,False,24185,False,139,125,283
iowa,https://twitter.com/IAGovernor,IAGovernor,851808935397011456,Gov. Kim Reynolds,"Iowa, USA","43rd governor of Iowa. 5th generation Iowan. Former county treasurer, state senator & lt. governor. Unleashing opportunities!",https://t.co/yqV9dGPKRU,2017-04-11 14:47:30+00:00,True,False,61090,False,539,2602,490
ohio,https://twitter.com/MikeDeWine,MikeDeWine,30887511,Mike DeWine,"Cedarville, Ohio",Husband to @FranDeWine | Father of 8 | Grandfather of 26 | Governor of the State of Ohio,https://t.co/wpSkvJXsKb,2009-04-13 15:39:54+00:00,True,False,142970,False,714,814,533
california,https://twitter.com/BrianDahleCA,BrianDahleCA,492476220,Senator Brian Dahle,"Bieber, CA",Gubernatorial Candidate // Paid for by Brian Dahle for Governor 2022,https://t.co/Q52XIXdama,2012-02-14 19:25:27+00:00,True,False,18527,False,5839,1434,315
south dakota,https://twitter.com/KristiNoem,KristiNoem,114388293,Kristi Noem,"South Dakota, USA","I am a wife, mother, grandma, farmer, rancher, small business owner, and South Dakotan who serves as South Dakota's Governor.",https://t.co/qKAZGZTuCi,2010-02-15 07:08:18+00:00,True,False,352507,False,3326,392,955
arkansas,https://twitter.com/SarahHuckabee,SarahHuckabee,5509762,Sarah Huckabee Sanders,"Little Rock, AR",Christian. Wife. Mom. Arkansan. Former White House press secretary. Republican candidate for Governor.,https://t.co/sOc7KlvkLh,2007-04-25 22:00:29+00:00,True,False,969539,False,2933,2060,2840
massachusetts,https://twitter.com/maura_healey,maura_healey,1964991720,Maura Healey,Massachusetts,Running to be a Governor for the people. Massachusetts Attorney General. Civil rights lawyer. Daughter. Sister. Aunt. Baller. she/her,https://t.co/EsJlvKcQuW,2013-10-16 15:45:25+00:00,True,False,63975,False,6917,3027,585
marlyand,https://twitter.com/iamwesmoore,iamwesmoore,42535683,Wes Moore for Maryland Governor,Baltimore,"Husband, father, combat veteran, Governor-Elect of the state of Maryland. By authority: Moore for Maryland, Mary Tydings, Treasurer",https://t.co/ZKRq6cqewL,2009-05-26 01:37:12+00:00,True,False,76097,False,2804,4322,818
hawaii,https://twitter.com/GovHawaii,GovHawaii,2916915026,Governor David Ige,"Honolulu, HI","The official Twitter account of Hawai‘i's Governor David Ige. Updated by staff. To contact our office, visit https://t.co/W2mPI5AswZ",https://t.co/ZUinH3Y8nx,2014-12-02 21:37:45+00:00,True,False,30126,False,789,4390,714
tennessee,https://twitter.com/GovBillLee,GovBillLee,1084924525232513025,Gov. Bill Lee,State of Tennessee,50th Governor of Tennessee,https://t.co/cmW7jEv3Wn,2019-01-14 21:25:38+00:00,True,False,111644,False,159,929,656
vermont,https://twitter.com/BrendaForVT,BrendaForVT,993594781732352002,Brenda Siegel for Governor,,Politician. Candidate for Governor. Teacher. Writer. Drug Policy & Anti-Poverty Advocate. Proud Single Mom. She/Her/Hers,https://t.co/SBRWRPSs89,2018-05-07 20:53:50+00:00,True,False,2083,False,1541,0,27
alabama,https://twitter.com/kayiveyforgov,kayiveyforgov,903636248308436992,Kay Ivey,"Alabama, USA",Governor of Alabama. Running for re-election. Alabama is working again and the best is yet to come!,https://t.co/ipcmg0MsCK,2017-09-01 15:10:45+00:00,True,False,11930,False,1,11,148
idaho,https://twitter.com/RealABundy,RealABundy,1401246913542836224,Ammon Bundy,"Emmett, ID","Candidate for Governor of Idaho • True Conservative • God, Family and Country • Life, Liberty and the Pursuit of Happiness • Running to Keep Idaho IDAHO 🇺🇸",https://t.co/l9uuiVrYRa,2021-06-05 18:38:18+00:00,False,False,7291,False,217,640,19
